latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.3399997,43.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (km/h)
2025-05-19T22:00,18.2,6.2
2025-05-19T23:00,17.3,6.8
2025-05-20T00:00,15.9,8.0
2025-05-20T01:00,14.7,8.6
2025-05-20T02:00,14.0,9.0
2025-05-20T03:00,13.3,8.0
2025-05-20T04:00,12.7,8.1
2025-05-20T05:00,12.3,8.4
2025-05-20T06:00,13.3,7.3
2025-05-20T07:00,14.8,8.1
2025-05-20T08:00,16.8,7.9
2025-05-20T09:00,19.5,7.9
2025-05-20T10:00,21.6,7.8
2025-05-20T11:00,23.5,11.4
2025-05-20T12:00,24.2,12.7
2025-05-20T13:00,24.6,12.7
2025-05-20T14:00,24.7,12.3
2025-05-20T15:00,24.9,13.0
2025-05-20T16:00,24.6,13.9
2025-05-20T17:00,24.1,12.7
2025-05-20T18:00,23.5,8.0
2025-05-20T19:00,22.6,10.8
2025-05-20T20:00,21.8,9.7
2025-05-20T21:00,19.4,12.7
2025-05-20T22:00,18.2,9.8
2025-05-20T23:00,17.4,7.4
2025-05-21T00:00,16.8,6.8
2025-05-21T01:00,16.1,6.6
2025-05-21T02:00,15.6,5.9
2025-05-21T03:00,14.8,4.9
2025-05-21T04:00,14.4,6.2
2025-05-21T05:00,14.1,6.2
2025-05-21T06:00,14.3,4.3
2025-05-21T07:00,14.9,4.8
2025-05-21T08:00,15.9,6.5
2025-05-21T09:00,17.4,6.0
2025-05-21T10:00,18.2,4.5
2025-05-21T11:00,18.0,4.7
2025-05-21T12:00,16.4,2.3
2025-05-21T13:00,16.2,3.6
2025-05-21T14:00,16.5,7.0
2025-05-21T15:00,15.2,3.0
2025-05-21T16:00,15.2,3.1
2025-05-21T17:00,14.5,10.5
2025-05-21T18:00,13.5,4.7
2025-05-21T19:00,13.1,1.8
2025-05-21T20:00,12.9,5.9
2025-05-21T21:00,12.1,8.2
2025-05-21T22:00,11.6,9.7
2025-05-21T23:00,11.9,11.6
2025-05-22T00:00,12.2,9.2
2025-05-22T01:00,12.0,13.1
2025-05-22T02:00,11.0,13.2
2025-05-22T03:00,9.9,13.0
2025-05-22T04:00,9.3,10.7
2025-05-22T05:00,9.1,11.3
2025-05-22T06:00,9.8,9.8
2025-05-22T07:00,10.9,11.8
2025-05-22T08:00,11.9,11.2
2025-05-22T09:00,12.9,13.6
2025-05-22T10:00,14.5,12.3
2025-05-22T11:00,15.9,11.3
2025-05-22T12:00,16.8,9.2
2025-05-22T13:00,18.1,9.7
2025-05-22T14:00,18.6,10.9
2025-05-22T15:00,19.7,12.3
2025-05-22T16:00,19.6,12.7
2025-05-22T17:00,19.4,13.3
2025-05-22T18:00,18.9,11.6
2025-05-22T19:00,18.1,11.5
2025-05-22T20:00,16.4,12.1
2025-05-22T21:00,14.8,11.8
2025-05-22T22:00,13.7,10.6
2025-05-22T23:00,12.8,9.3
2025-05-23T00:00,11.9,8.8
2025-05-23T01:00,11.0,7.8
2025-05-23T02:00,10.1,8.1
2025-05-23T03:00,9.2,7.3
2025-05-23T04:00,8.8,5.9
2025-05-23T05:00,8.4,4.7
2025-05-23T06:00,9.3,5.0
2025-05-23T07:00,10.6,6.4
2025-05-23T08:00,12.1,7.9
2025-05-23T09:00,13.6,9.6
2025-05-23T10:00,14.4,8.7
2025-05-23T11:00,15.4,8.7
2025-05-23T12:00,16.5,7.6
2025-05-23T13:00,17.6,10.1
2025-05-23T14:00,17.9,11.7
2025-05-23T15:00,17.8,9.6
2025-05-23T16:00,18.4,12.9
2025-05-23T17:00,18.3,12.3
2025-05-23T18:00,17.6,6.6
2025-05-23T19:00,17.1,6.4
2025-05-23T20:00,16.4,5.0
2025-05-23T21:00,15.1,5.7
2025-05-23T22:00,13.9,7.6
2025-05-23T23:00,13.5,5.8
2025-05-24T00:00,12.4,5.4
2025-05-24T01:00,12.1,5.8
2025-05-24T02:00,11.8,4.0
2025-05-24T03:00,11.3,4.7
2025-05-24T04:00,11.1,3.6
2025-05-24T05:00,11.3,4.5
2025-05-24T06:00,12.1,4.7
2025-05-24T07:00,13.5,6.1
2025-05-24T08:00,14.4,7.9
2025-05-24T09:00,16.2,10.4
2025-05-24T10:00,16.2,12.3
2025-05-24T11:00,16.1,12.4
2025-05-24T12:00,17.6,14.1
2025-05-24T13:00,19.2,13.2
2025-05-24T14:00,19.3,13.8
2025-05-24T15:00,20.2,13.7
2025-05-24T16:00,20.5,12.8
2025-05-24T17:00,20.4,12.6
2025-05-24T18:00,19.9,12.7
2025-05-24T19:00,19.5,8.4
2025-05-24T20:00,18.9,5.4
2025-05-24T21:00,18.7,6.0
2025-05-24T22:00,18.2,7.9
2025-05-24T23:00,17.7,10.5
2025-05-25T00:00,17.2,12.3
2025-05-25T01:00,16.4,12.5
2025-05-25T02:00,15.9,12.0
2025-05-25T03:00,15.9,12.5
2025-05-25T04:00,15.7,13.2
2025-05-25T05:00,15.8,14.5
2025-05-25T06:00,15.7,14.6
2025-05-25T07:00,15.9,15.6
2025-05-25T08:00,16.6,19.5
2025-05-25T09:00,17.4,17.3
2025-05-25T10:00,18.0,17.9
2025-05-25T11:00,19.4,18.0
2025-05-25T12:00,18.5,21.7
2025-05-25T13:00,19.8,17.3
2025-05-25T14:00,21.0,16.1
2025-05-25T15:00,20.5,16.2
2025-05-25T16:00,20.1,18.9
2025-05-25T17:00,19.8,17.3
2025-05-25T18:00,18.5,17.8
2025-05-25T19:00,17.6,13.9
2025-05-25T20:00,16.6,13.8
2025-05-25T21:00,16.0,12.1
2025-05-25T22:00,15.2,10.9
2025-05-25T23:00,14.5,9.4
2025-05-26T00:00,13.8,11.6
2025-05-26T01:00,13.1,11.2
2025-05-26T02:00,12.2,9.8
2025-05-26T03:00,11.6,9.0
2025-05-26T04:00,11.1,8.7
2025-05-26T05:00,11.0,7.6
2025-05-26T06:00,12.2,8.4
2025-05-26T07:00,13.5,10.5
2025-05-26T08:00,14.8,10.4
2025-05-26T09:00,16.5,12.0
2025-05-26T10:00,17.7,13.3
2025-05-26T11:00,18.5,12.6
2025-05-26T12:00,18.4,12.6
2025-05-26T13:00,19.1,15.1
2025-05-26T14:00,19.1,15.6
2025-05-26T15:00,19.0,11.9
2025-05-26T16:00,19.7,9.0
2025-05-26T17:00,19.4,14.0
2025-05-26T18:00,18.4,12.5
2025-05-26T19:00,17.8,11.9
2025-05-26T20:00,16.9,8.9
2025-05-26T21:00,16.7,6.8
2025-05-26T22:00,16.5,8.7
2025-05-26T23:00,16.1,8.2
2025-05-27T00:00,15.4,8.1
2025-05-27T01:00,14.9,9.8
2025-05-27T02:00,14.3,10.4
2025-05-27T03:00,13.7,10.7
2025-05-27T04:00,13.0,9.7
2025-05-27T05:00,12.6,9.7
2025-05-27T06:00,13.7,12.0
2025-05-27T07:00,14.4,12.8
2025-05-27T08:00,15.0,13.7
2025-05-27T09:00,17.0,11.8
2025-05-27T10:00,17.4,15.3
2025-05-27T11:00,17.3,13.2
2025-05-27T12:00,17.2,14.3
2025-05-27T13:00,19.0,16.3
2025-05-27T14:00,18.5,15.3
2025-05-27T15:00,18.4,11.8
2025-05-27T16:00,19.2,15.8
2025-05-27T17:00,19.4,13.3
2025-05-27T18:00,19.6,13.7
2025-05-27T19:00,19.5,13.5
2025-05-27T20:00,19.2,13.4
2025-05-27T21:00,18.4,13.8
2025-05-27T22:00,17.8,15.6
2025-05-27T23:00,16.9,15.0
2025-05-28T00:00,16.6,12.7
2025-05-28T01:00,16.1,12.6
2025-05-28T02:00,15.6,12.8
2025-05-28T03:00,15.2,11.5
2025-05-28T04:00,15.1,11.3
2025-05-28T05:00,14.7,12.6
2025-05-28T06:00,14.9,11.4
2025-05-28T07:00,15.4,12.9
2025-05-28T08:00,16.9,18.5
2025-05-28T09:00,17.3,16.1
2025-05-28T10:00,18.0,15.9
2025-05-28T11:00,18.6,16.1
2025-05-28T12:00,20.4,15.8
2025-05-28T13:00,21.3,17.4
2025-05-28T14:00,22.1,18.8
2025-05-28T15:00,22.3,16.6
2025-05-28T16:00,21.8,19.9
2025-05-28T17:00,20.9,17.5
2025-05-28T18:00,19.7,14.9
2025-05-28T19:00,18.8,13.0
2025-05-28T20:00,17.8,13.1
2025-05-28T21:00,16.8,9.3
2025-05-28T22:00,15.9,6.3
2025-05-28T23:00,15.0,5.2
2025-05-29T00:00,14.1,3.6
2025-05-29T01:00,13.8,2.6
2025-05-29T02:00,13.5,3.3
2025-05-29T03:00,12.7,2.5
2025-05-29T04:00,12.6,3.1
2025-05-29T05:00,12.9,3.7
2025-05-29T06:00,13.6,3.7
2025-05-29T07:00,14.9,5.4
2025-05-29T08:00,16.9,7.4
2025-05-29T09:00,19.6,8.6
2025-05-29T10:00,20.9,9.4
2025-05-29T11:00,22.7,11.1
2025-05-29T12:00,23.7,11.4
2025-05-29T13:00,24.4,11.2
2025-05-29T14:00,25.1,13.6
2025-05-29T15:00,25.6,11.2
2025-05-29T16:00,25.7,10.1
2025-05-29T17:00,25.0,12.6
2025-05-29T18:00,24.1,9.7
2025-05-29T19:00,23.4,8.5
2025-05-29T20:00,22.5,5.8
2025-05-29T21:00,21.3,3.8
2025-05-29T22:00,20.3,3.3
2025-05-29T23:00,19.4,4.0
2025-05-30T00:00,18.2,2.7
2025-05-30T01:00,17.6,0.8
2025-05-30T02:00,17.0,0.8
2025-05-30T03:00,16.6,1.6
2025-05-30T04:00,15.9,2.4
2025-05-30T05:00,15.6,2.8
2025-05-30T06:00,16.9,3.8
2025-05-30T07:00,18.6,5.6
2025-05-30T08:00,20.5,4.7
2025-05-30T09:00,23.0,4.4
2025-05-30T10:00,24.6,5.4
2025-05-30T11:00,26.0,5.8
2025-05-30T12:00,27.4,5.4
2025-05-30T13:00,28.6,6.8
2025-05-30T14:00,29.5,7.6
2025-05-30T15:00,30.4,8.6
2025-05-30T16:00,30.7,8.7
2025-05-30T17:00,30.4,7.7
2025-05-30T18:00,29.8,8.9
2025-05-30T19:00,29.1,8.4
2025-05-30T20:00,27.9,2.2
2025-05-30T21:00,26.1,3.3
2025-05-30T22:00,22.6,11.1
2025-05-30T23:00,21.0,7.8
2025-05-31T00:00,20.3,7.2
2025-05-31T01:00,19.6,7.2
2025-05-31T02:00,19.1,5.4
